"Date","Price","Open","High","Low","Vol.","Change %"
"05/16/2025","13,050.0","13,150.0","13,400.0","13,050.0","67.96M","-0.38%"
"05/15/2025","13,100.0","12,950.0","13,150.0","12,700.0","47.92M","1.95%"
"05/14/2025","12,850.0","12,850.0","13,100.0","12,700.0","37.21M","0.00%"
"05/13/2025","12,850.0","12,900.0","13,250.0","12,700.0","60.47M","1.98%"
"05/12/2025","12,600.0","12,550.0","12,650.0","12,400.0","29.47M","1.20%"
"05/09/2025","12,450.0","12,500.0","12,800.0","12,400.0","38.83M","0.40%"
"05/08/2025","12,400.0","12,250.0","12,500.0","12,200.0","25.76M","2.06%"
"05/07/2025","12,150.0","12,250.0","12,400.0","12,100.0","27.04M","-1.22%"
"05/06/2025","12,300.0","12,550.0","12,650.0","12,250.0","30.96M","-1.20%"
"05/05/2025","12,450.0","12,100.0","12,600.0","12,050.0","33.79M","4.18%"
"04/29/2025","11,950.0","12,050.0","12,150.0","11,950.0","17.99M","-0.83%"
"04/28/2025","12,050.0","12,150.0","12,200.0","11,950.0","18.91M","0.42%"
"04/25/2025","12,000.0","12,250.0","12,250.0","11,900.0","24.85M","-0.83%"
"04/24/2025","12,100.0","12,400.0","12,400.0","11,850.0","42.19M","-1.22%"
"04/23/2025","12,250.0","12,650.0","12,700.0","12,250.0","23.70M","0.41%"
"04/22/2025","12,200.0","12,250.0","12,550.0","11,650.0","109.29M","-2.40%"
"04/21/2025","12,500.0","12,950.0","13,050.0","12,300.0","42.55M","-1.57%"
"04/18/2025","12,700.0","12,750.0","13,200.0","12,600.0","90.24M","1.20%"
"04/17/2025","12,550.0","12,300.0","12,800.0","12,300.0","37.15M","0.80%"
"04/16/2025","12,450.0","12,750.0","12,850.0","12,350.0","30.52M","-1.19%"
"04/15/2025","12,600.0","12,700.0","13,100.0","12,250.0","51.45M","-0.79%"
"04/14/2025","12,700.0","12,050.0","12,700.0","11,900.0","61.25M","6.72%"
"04/11/2025","11,900.0","11,700.0","11,900.0","11,300.0","72.00M","6.73%"
"04/10/2025","11,150.0","11,150.0","11,150.0","11,150.0","1.23M","6.70%"
"04/09/2025","10,450.0","10,450.0","11,050.0","10,450.0","92.92M","-6.70%"
"04/08/2025","11,200.0","11,600.0","11,800.0","11,200.0","21.59M","-6.67%"
"04/04/2025","12,000.0","11,250.0","12,000.0","11,250.0","77.55M","-0.41%"
"04/03/2025","12,050.0","12,450.0","12,600.0","12,050.0","71.17M","-6.95%"
"04/02/2025","12,950.0","12,600.0","13,100.0","12,500.0","62.09M","3.60%"
"04/01/2025","12,500.0","12,350.0","12,600.0","12,300.0","20.16M","2.04%"
"03/31/2025","12,250.0","12,450.0","12,500.0","12,250.0","27.40M","-2.39%"
"03/28/2025","12,550.0","12,550.0","12,700.0","12,400.0","34.01M","0.00%"
"03/27/2025","12,550.0","12,700.0","12,750.0","12,550.0","25.07M","-0.40%"
"03/26/2025","12,600.0","12,450.0","12,800.0","12,400.0","53.34M","1.20%"
"03/25/2025","12,450.0","12,450.0","12,850.0","12,300.0","58.78M","0.81%"
"03/24/2025","12,350.0","12,250.0","12,350.0","12,100.0","25.08M","0.82%"
"03/21/2025","12,250.0","12,200.0","12,450.0","12,200.0","28.56M","-0.41%"
"03/20/2025","12,300.0","12,150.0","12,400.0","12,050.0","24.82M","1.65%"
"03/19/2025","12,100.0","12,150.0","12,200.0","11,900.0","25.78M","-0.82%"
"03/18/2025","12,200.0","12,450.0","12,500.0","12,100.0","32.91M","-0.81%"
"03/17/2025","12,300.0","12,300.0","12,450.0","12,250.0","22.90M","0.00%"
"03/14/2025","12,300.0","12,100.0","12,400.0","12,050.0","33.57M","0.82%"
"03/13/2025","12,200.0","12,400.0","12,500.0","12,100.0","41.31M","-2.01%"
"03/12/2025","12,450.0","12,000.0","12,500.0","12,000.0","87.93M","4.18%"
"03/11/2025","11,950.0","11,700.0","12,050.0","11,550.0","46.00M","0.42%"
"03/10/2025","11,900.0","11,900.0","12,150.0","11,850.0","39.65M","0.42%"
"03/07/2025","11,850.0","12,000.0","12,150.0","11,800.0","40.17M","0.00%"
"03/06/2025","11,850.0","11,250.0","11,850.0","11,200.0","113.12M","6.76%"
"03/05/2025","11,100.0","11,500.0","11,700.0","11,100.0","59.87M","-3.48%"
"03/04/2025","11,500.0","11,700.0","11,850.0","11,000.0","96.30M","-2.54%"
"03/03/2025","11,800.0","11,450.0","12,000.0","11,300.0","65.46M","3.06%"
"02/28/2025","11,450.0","11,500.0","11,700.0","11,350.0","35.63M","-0.43%"
"02/27/2025","11,500.0","11,500.0","11,600.0","11,200.0","39.57M","0.44%"
"02/26/2025","11,450.0","11,500.0","11,700.0","11,400.0","36.95M","0.00%"
"02/25/2025","11,450.0","11,550.0","11,700.0","11,400.0","51.60M","-0.43%"
"02/24/2025","11,500.0","11,250.0","11,550.0","11,150.0","42.26M","1.77%"
"02/21/2025","11,300.0","11,200.0","11,300.0","11,100.0","29.39M","0.44%"
"02/20/2025","11,250.0","11,250.0","11,450.0","11,100.0","49.08M","0.45%"
"02/19/2025","11,200.0","11,050.0","11,200.0","10,950.0","49.09M","2.28%"
"02/18/2025","10,950.0","10,850.0","11,150.0","10,700.0","42.35M","1.86%"
"02/17/2025","10,750.0","10,200.0","10,850.0","10,150.0","87.80M","5.91%"
"02/14/2025","10,150.0","10,100.0","10,300.0","10,100.0","25.23M","1.00%"
"02/13/2025","10,050.0","9,980.0","10,200.0","9,960.0","17.35M","0.70%"
"02/12/2025","9,980.0","9,940.0","10,150.0","9,940.0","15.57M","0.40%"
"02/11/2025","9,940.0","9,960.0","10,000.0","9,940.0","8.59M","-0.20%"
"02/10/2025","9,960.0","10,050.0","10,100.0","9,940.0","20.73M","-1.39%"
"02/07/2025","10,100.0","10,150.0","10,150.0","10,000.0","10.82M","0.50%"
"02/06/2025","10,050.0","10,100.0","10,300.0","10,000.0","23.32M","0.60%"
"02/05/2025","9,990.0","10,200.0","10,200.0","9,970.0","18.89M","-1.58%"
"02/04/2025","10,150.0","9,870.0","10,150.0","9,870.0","24.07M","3.15%"
"02/03/2025","9,840.0","9,600.0","10,000.0","9,600.0","11.03M","-0.51%"
"01/24/2025","9,890.0","9,600.0","10,000.0","9,600.0","23.38M","3.24%"
"01/23/2025","9,580.0","9,450.0","9,650.0","9,430.0","13.94M","1.59%"
"01/22/2025","9,430.0","9,590.0","9,670.0","9,430.0","9.68M","-1.57%"
"01/21/2025","9,580.0","9,530.0","9,650.0","9,510.0","11.19M","0.52%"
"01/20/2025","9,530.0","9,470.0","9,600.0","9,410.0","14.10M","0.63%"
"01/17/2025","9,470.0","9,480.0","9,540.0","9,420.0","8.46M","0.53%"
"01/16/2025","9,420.0","9,330.0","9,800.0","9,330.0","14.60M","1.84%"
"01/15/2025","9,250.0","9,040.0","9,290.0","9,040.0","11.08M","2.32%"
"01/14/2025","9,040.0","9,120.0","9,240.0","9,040.0","10.71M","-0.88%"
"01/13/2025","9,120.0","9,150.0","9,240.0","9,030.0","17.49M","-0.87%"
"01/10/2025","9,200.0","9,560.0","9,590.0","9,200.0","20.38M","-3.77%"
"01/09/2025","9,560.0","9,610.0","9,680.0","9,560.0","5.55M","-0.83%"
"01/08/2025","9,640.0","9,500.0","9,690.0","9,500.0","7.52M","1.47%"
